696279 Archaeology	67934 Arqueología	241652 Archäologie	84940 Archéologie	16729 Arqueologia	20030 علم_الآثار	5739 Arkeologia	6144 Αρχαιολογία	17045 Arheologie	5421 Arqueologia
712962 Andorra 	70403 Andorra 	242053 Andorra 	84096 Andorre 	15550 Andorra 	9310 أندورا 	8448 Andorra 	34332 Ανδόρρα 	16118 Andorra 	5502 Andòrra 
913144 Amphibians 	601203 Amphibia 	321883 Amphibien 	106627 Amphibien 	26352 Amfibis 	15201 برمائيات 	16403 Anfibioak 	26015 Αμφίβια 	937315 Amfibieni 	59157 Anfibian 
698577 England 	133203 Inglaterra 	244323 England 	193285 Angleterre 	13188 Anglaterra 	6782 إنجلترا 	11742 Ingalaterra 	57927 Αγγλία 	22893 Anglia 	11576 Anglatèrra 
702819 Angola 	70405 Angola 	242064 Angola 	127269 Angola 	21344 Angola 	8543 أنغولا 	4288 Angola 	292280 Ανγκόλα 	18066 Angola 	5810 Angòla 
716885 Animals 	55378 Animales 	2810722 Vielzellige_Tiere 	194748 Animal 	20290 Animals 	7433 حيوانات 	6556 Animaliak 	65198 Ζώα 	31429 Animale 	10825 Animal 
1099499 Anseriformes 	199115 Anseriformes 	247532 Gänsevögel 	4159672 Anseriformes 	262262 Anseriformes 	1811997 إوزيات 	61743 Anseriformes 	146675 Χηνόμορφα 	196628 Anseriformes 	53602 Anserifòrme 
713047 Antarctica 	98147 Antártida 	6105655 Antarktika 	366737 Antarctique 	16472 Antàrtida 	1865544 القارة_القطبية_الجنوبية 	51594 Antartika 	39171 Ανταρκτική 	566126 Antarctida 	33774 Antartida 
695084 Antibiotics 	55379 Antibióticos 	510140 Antibiotikum 	221427 Antibiotique 	19323 Antibiòtics 	176926 مضادات_حيوية 	54388 Antibiotikoak 	217862 Αντιβιοτικά 	114275 Antibiotice 	39077 Antibiotic 
693037 Antigua_and_Barbuda 	67672 Antigua_y_Barbuda 	242203 Antigua_und_Barbuda 	157372 Antigua-et-Barbuda 	25963 Antigua_i_Barbuda 	1920897 أنتيغوا_وباربودا 	24655 Antigua_eta_Barbuda 	54391 Αντίγκουα_και_Μπαρμπούντα 	748310 Antigua_și_Barbuda 	9810 Antigua_e_Barbuda 
1372865 Apiaceae 	107957 Apiaceae 	518539 Doldenblütler 	236993 Apiaceae 	118509 Apiàcies 	615581 خيمية 	76339 Apiaceae 	154476 Σελινοειδή 	123402 Apiaceae 	34291 Apiaceae 
1372308 Apiales 	265852 Apiales 	2809271 Apiales 	370829 Apiales 	90809 Apials 	775885 خيميات 	67987 Apiales 	154477 Σελινώδη 	123403 Apiales 	34292 Apiales 
1399146 Beekeeping 	74792 Apicultura 	4949050 Imkerei 	135291 Apiculture 	429256 Apicultura 	555718 تربية_النحل 	164635 Erlezaintza 	146212 Μελισσοκομία 	105658 Apicultură 	34821 Apicultura 
9300270 Apple_Inc. 	2144756 Apple_Inc. 	633142 Apple 	1267233 Apple 	505518 Apple 	379040 أبل 	225021 Apple 	55974 Apple 	193203 Apple_Inc 	31925 Apple 
1190692 Aquitaine 	314772 Aquitania 	1005792 Aquitanien 	97869 Aquitaine 	46577 Aquitània 	1863228 آكيتين 	49968 Akitania 	96721 Ακουιτανία 	236625 Aquitania 	5464 Aquitània 
725536 Saudi_Arabia 	70409 Arabia_Saudita 	242612 Saudi-Arabien 	109054 Arabie_saoudite 	26309 Aràbia_Saudita 	127691 السعودية 	9449 Saudi_Arabia 	67499 Σαουδική_Αραβία 	18158 Arabia_Saudită 	23432 Arabia_Saudita 
863673 Arachnids 	768297 Arachnida 	1276051 Spinnentiere 	305484 Arachnide 	31378 Aràcnids 	30041 عنكبوتيات 	105991 Araknidoak 	149817 Αραχνίδια 	78533 Arahnide 	19343 Arachnida 
1106717 Aragon 	51012 Aragón 	1098631 Aragonien 	253806 Aragon 	13493 Aragó 	1670782 أراغون 	7250 Aragoi 	131685 Αραγονία 	297732 Aragon 	15985 Aragon 
713086 Trees 	97289 Árboles_y_arbustos 	240590 Baum 	87495 Arbre 	20319 Arbres 	9620 أشجار 	6650 Zuhaitzak 	26029 Δέντρα 	64651 Arbori 	12796 Arbre 
1212348 Triumphal_arches 	382096 Arcos_de_triunfo 	763894 Triumphbogen 	131568 Arc_de_triomphe 	182720 Arcs_de_triomf 	554367 قوس_نصر 	82843 Garaipen_arkuak 	340420 Θριαμβικές_αψίδες 	49165 Arcuri_de_triumf 	51816 Arc_de_trionf 
692995 Argentina 	2685681 Argentina 	243032 Argentinien 	102168 Argentine 	16845 Argentina 	219586 الأرجنتين 	8656 Argentina 	14944 Αργεντινή 	28609 Argentina 	5811 Argentina 
713005 Algeria 	65019 Argelia 	242051 Algerien 	87821 Algérie 	18945 Algèria 	182826 الجزائر 	24746 Aljeria 	8210 Αλγερία 	18061 Algeria 	7571 Argeria 
698507 Weapons 	68567 Armamento 	241639 Waffe 	87379 Arme 	25966 Armes 	12590 أسلحة 	9548 Armak 	16410 Όπλα 	28748 Arme 	48663 Arma 
716572 Military 	68565 Fuerzas_armadas 	236159 Militärwesen 	106064 Armée 	124175 Forces_armades 	181636 عسكرية 	6736 Indar_armatuak 	55123 Στρατός 	28755 Armată 	10557 Armada 
713948 Armenia 	67718 Armenia 	323481 Armenien 	83960 Arménie 	23632 Armènia 	9331 أرمينيا 	21606 Armenia 	38261 Αρμενία 	18148 Armenia 	27560 Armenia 
1062968 Archbishops 	138184 Arzobispos 	8096634 Erzbischof 	361263 Archevêque 	743518 Arquebisbes 	339594 رؤساء_أساقفة 	430763 Artzapezpikuak 	18721 Αρχιεπίσκοποι 	592898 Arhiepiscopi 	49550 Arquevesque 
716271 Gothic_architecture 	386679 Arquitectura_gótica 	861948 Gotisches_Bauwerk 	142646 Architecture_gothique 	254225 Arquitectura_gòtica 	316676 عمارة_قوطية 	57724 Arkitektura_gotikoa 	351689 Γοτθική_αρχιτεκτονική 	141852 Arhitectură_gotică 	40024 Arquitectura_gotica 
693868 Architects 	51730 Arquitectos 	236112 Architekt 	84284 Architecte 	16751 Arquitectes 	12142 معماريون 	6557 Arkitektoak 	23584 Αρχιτέκτονες 	748358 Arhitecți 	14194 Arquitècte 
729832 Martial_arts 	55390 Artes_marciales 	274300 Kampfkunst 	93402 Art_martial 	12930 Arts_marcials 	33847 فنون_قتالية 	239967 Borroka_arteak 	14010 Πολεμικές_τέχνες 	748407 Arte_marțiale 	17526 Art_marcial 
904964 Artists_by_nationality 	651651 Artistas_por_país 	6271358 Künstler_nach_Staat 	6626955 Artiste_par_nationalité 	198220 Artistes_per_origen 	666418 فنانون_حسب_الجنسية 	117618 Artistak_herrialdearen_arabera 	66442 Καλλιτέχνες_ανά_εθνικότητα 	797522 Artiști_după_naționalitate 	9981 Artista_per_país 
863675 Arthropods 	601168 Arthropoda 	1489980 Gliederfüßer 	106628 Arthropode 	31377 Artròpodes 	1413609 مفصليات_الأرجل 	8773 Artropodoak 	28723 Αρθρόποδα 	51221 Artropode 	54053 Artropòde 
854599 Aruba 	70575 Aruba 	557881 Aruba 	218039 Aruba 	26283 Aruba 	310576 أروبا 	8112 Aruba 	76067 Αρούμπα 	184257 Aruba 	7686 Aruba 
697006 Asia 	64610 Asia 	242649 Asien 	82495 Asie 	13877 Àsia 	6546 آسيا 	4314 Asia 	8163 Ασία 	15986 Asia 	2967 Asia 
44988149 Nonprofit_organizations 	2936788 Organizaciones_sin_ánimo_de_lucro 	6954734 Non-Profit-Organisation 	6896366 Organisme_sans_but_lucratif 	47871 Organitzacions_sense_ànim_de_lucre 	67166 منظمات_غير_ربحية 	153508 Irabazteko_asmorik_gabeko_erakundeak 	120852 Μη_κερδοσκοπικοί_οργανισμοί 	807397 Organizații_fără_scop_lucrativ 	9123 Associacion_o_organisme 
1218000 Asteraceae 	104036 Asteraceae 	2807859 Asteraceae 	210588 Asteraceae 	93107 Asteràcies 	529496 نجمية 	65550 Asteraceae 	134757 Σύνθετα 	123410 Asteraceae 	34270 Asteraceae 
1218004 Asterales 	265855 Asterales 	1295847 Asternartige 	133126 Asterales 	90870 Asterals 	634123 نجميات 	65676 Asterales 	147448 Αστερώδη 	123411 Asterales 	34271 Asterales 
692006 Asteroids 	51798 Asteroides 	234239 Asteroid 	212016 Astéroïde 	32870 Asteroides 	672510 كويكبات 	4247 Asteroideak 	21421 Αστεροειδείς 	38534 Asteroizi 	39262 Asteroïde 
698070 Astrophysics 	1850633 Astrofísica 	659555 Astrophysik 	160612 Astrophysique 	19266 Astrofísica 	7295 فيزياء_فلكية 	4243 Astrofisika 	14854 Αστροφυσική 	82070 Astrofizică 	20733 Astrofisica 
1052677 Astrology 	66899 Astrología 	291453 Astrologie 	89668 Astrologie 	26286 Astrologia 	140923 تنجيم 	7621 Astrologia 	14946 Αστρολογία 	57143 Astrologie 	5913 Astrologia 
692915 Astronomy 	50844 Astronomía 	235241 Astronomie 	80753 Astronomie 	13760 Astronomia 	4367 فلك 	3515 Astronomia 	6154 Αστρονομία 	19575 Astronomie 	3452 Astronomia 
880205 Asturias 	51032 Asturias 	611772 Asturien 	631040 Asturies 	13686 Astúries 	1863230 منطقة_أستورياس 	8179 Asturias 	319118 Αστούριες 	1221725 Asturia 	6219 Astúrias 
876384 Atheism 	74345 Ateísmo 	953416 Atheismus 	84970 Athéisme 	1058804 Ateisme 	40349 إلحاد 	384050 Ateismoa 	127744 Αθεϊσμός 	28709 Ateism 	39260 Ateïsme 
35028447 Athletics_(sport) 	84106 Atletismo 	239272 Leichtathletik 	98627 Athlétisme 	31230 Atletisme 	38396 ألعاب_قوى 	39935 Atletismoa 	16797 Στίβος 	113315 Atletism 	61202 Atletisme 
1136015 Atmosphere 	99035 Atmósfera 	753549 Atmosphäre 	161053 Atmosphère 	104544 Atmosfera 	84071 غلاف_جوي 	7548 Atmosfera 	208559 Ατμόσφαιρα 	29188 Atmosferă 	26062 Atmosfèra 
693538 Australia 	51768 Australia 	242209 Australien 	85379 Australie 	27615 Austràlia 	29826 أستراليا 	4301 Australia 	32709 Αυστραλία 	13134 Australia 	25803 Austràlia 
953524 Birds 	67874 Aves 	245237 Vögel 	106626 Oiseau 	34430 Ocells 	13535 طيور 	41651 Hegaztiak 	14274 Πτηνά 	37695 Păsări 	53597 Ausèl 
42376178 Auvergne_(region) 	435153 Auvernia 	1005799 Auvergne 	93005 Auvergne 	46571 Alvèrnia 	1864085 أوفرن 	87462 Auvernia 	341653 Ωβέρνη 	236634 Auvergne 	19767 Auvèrnhe_(region) 
694063 Lawyers 	83841 Abogados 	235954 Rechtsanwalt 	107341 Avocat 	51419 Advocats 	131060 محامون 	7930 Abokatuak 	220788 Δικηγόροι 	748770 Avocați 	48422 Avocat 
718700 Azerbaijan 	67737 Azerbaiyán 	242208 Aserbaidschan 	83959 Azerbaïdjan 	28395 Azerbaidjan 	9330 أذربيجان 	21605 Azerbaijan 	38099 Αζερμπαϊτζάν 	18150 Azerbaidjan 	25837 Azerbaitjan 
918218 Baden-Württemberg 	289875 Baden-Wurtemberg 	238977 Baden-Württemberg 	307713 Bade-Wurtemberg 	1135815 Baden-Württemberg 	1197650 بادن_فورتمبيرغ 	97047 Baden-Württemberg 	99785 Βάδη-Βυρτεμβέργη 	121601 Baden-Württemberg 	45913 Baden-Württemberg 
743167 Bahrain 	4416103 Baréin 	242212 Bahrain 	83958 Bahreïn 	29997 Bahrain 	66845 البحرين 	21614 Bahrain 	54396 Μπαχρέιν 	18151 Bahrain 	34488 Bahrayn 
815020 Bays 	1611570 Bahías 	254807 Bucht 	726488 Baie 	174326 Badies 	10514 خلجان 	544783 Badiak 	299996 Όρμοι 	109856 Golfuri 	50438 Baia 
709052 Balkans 	908219 Balcanes 	739980 Balkan 	842502 Balkans 	34422 Balcans 	772219 البلقان 	516341 Balkanak 	9113 Βαλκάνια 	18025 Balcani 	26395 Balcans 
779675 Ballet 	440467 Ballet 	481544 Ballett 	287555 Ballet 	242489 Ballet 	445119 باليه 	242124 Balleta 	142429 Μπαλέτο 	276436 Balet 	11424 Balet 
824482 Caves 	441180 Cuevas 	241385 Höhle 	314608 Grotte 	185174 Coves 	243828 كهوف 	50677 Leizeak 	106408 Σπήλαια 	759030 Peșteri 	55041 Balma 
700721 Flags 	75376 Banderas 	290548 Flagge 	100310 Drapeau 	12456 Banderes 	290708 أعلام_ورايات 	24494 Banderak 	7574 Σημαίες 	36947 Steaguri 	9923 Bandièra 
718766 Bangladesh 	4422628 Bangladés 	242214 Bangladesch 	83957 Bangladesh 	18948 Bangla_Desh 	33992 بنغلاديش 	21607 Bangladesh 	82695 Μπανγκλαντές 	18163 Bangladesh 	10028 Bangladèsh 
693042 Barbados 	67669 Barbados 	242215 Barbados 	157381 Barbade 	30129 Barbados 	1920913 باربادوس 	24699 Barbados 	83039 Μπαρμπάντος 	52722 Barbados 	34510 Barbados 
719201 Barcelona 	51056 Barcelona 	401957 Barcelona 	102309 Barcelone 	12446 Barcelona 	31097 برشلونة 	12378 Bartzelona 	80449 Βαρκελώνη 	95850 Barcelona 	15785 Barcelona 
9779050 Baroque 	136806 Barroco 	354330 Barock 	250127 Baroque 	113678 Barroc 	509745 باروك 	68356 Barrokoa 	64592 Μπαρόκ 	35478 Baroc 	47640 Barròc 
1053386 Basilicata 	726685 Basilicata 	2599868 Basilikata 	283411 Basilicate 	409204 Basilicata 	1171630 بازيليكاتا 	21104 Basilicata 	102716 Μπαζιλικάτα 	954609 Basilicata 	40798 Basilicata 
695037 Basketball 	55657 Baloncesto 	259578 Basketball 	193161 Basket-ball 	12612 Bàsquet 	31700 كرة_سلة 	12697 Saskibaloia 	34825 Καλαθοσφαίριση 	135583 Baschet 	61042 Basquetbòl 
918430 Lower_Saxony 	452958 Baja_Sajonia 	249859 Niedersachsen 	204947 Basse-Saxe 	86253 Baixa_Saxònia 	1247883 ساكسونيا_السفلى 	11207 Saxonia_Beherea 	98626 Κάτω_Σαξονία 	93643 Saxonia_Inferioară 	41740 Bassa_Saxònia 
889937 Battles_of_World_War_I 	165561 Batallas_de_la_Primera_Guerra_Mundial 	2777037 Schlacht_des_Ersten_Weltkriegs 	294703 Bataille_ou_opération_de_la_Première_Guerre_mondiale 	135721 Batalles_de_la_Primera_Guerra_Mundial 	131543 معارك_الحرب_العالمية_الأولى 	142220 Lehen_Mundu_Gerrako_guduak 	98027 Μάχες_του_Α'_Παγκοσμίου_Πολέμου 	1146127 Bătălii_ale_Primului_Război_Mondial 	69683 Batalha_o_operacion_de_la_Primièra_Guèrra_Mondiala 
692447 Drummers 	283683 Bateristas 	315576 Schlagzeuger 	93447 Batteur 	156005 Bateries 	1863271 طبالون 	242138 Bateria-jotzaileak 	243845 Ντράμερς 	748816 Bateriști 	13497 Bateire 
711332 Ships 	66044 Barcos 	258955 Schiff 	112588 Bateau 	75548 Vaixells 	137038 سفن 	6927 Itsasontziak 	20789 Πλοίο 	92348 Nave 	55293 Batèu 
900815 Palau 	973690 Palaos 	242553 Palau 	255544 Palaos 	35790 Palau 	250231 بالاو 	9236 Palau 	66218 Παλάου 	159491 Palau 	29735 Belau 
707454 Belgium 	65497 Bélgica 	242217 Belgien 	83945 Belgique 	18129 Bèlgica 	8415 بلجيكا 	8742 Belgika 	20516 Βέλγιο 	16113 Belgia 	5504 Belgica 
1205645 Belgrade 	786810 Belgrado 	787110 Belgrad 	499002 Belgrade 	563058 Belgrad 	1109910 بلغراد 	154448 Belgrad 	241155 Βελιγράδι 	458884 Belgrad 	44425 Belgrad 
713029 Belize 	51492 Belice 	242218 Belize 	157406 Belize 	26554 Belize 	8323 بليز 	12415 Belize 	17297 Μπελίζε 	143801 Belize 	9725 Belize 
713007 Benin 	70424 Benín 	242219 Benin 	122322 Bénin 	26553 Benín 	8121 بنين 	4286 Benin 	77860 Μπενίν 	18062 Benin 	7611 Benin 
761572 Berlin 	97818 Berlín 	239874 Berlin 	106438 Berlin 	86282 Berlín 	14090 برلين 	60293 Berlin 	32443 Βερολίνο 	128545 Berlin 	39983 Berlin 
901612 Bermuda 	248078 Bermudas 	556211 Bermuda 	430182 Bermudes 	30571 Bermudes 	869819 برمودا 	62822 Bermuda 	89651 Βερμούδες 	101554 Bermuda 	31758 Bermudas 
10423407 Betulaceae 	161744 Betulaceae 	2809283 Betulaceae 	221292 Betulaceae 	115497 Betulàcies 	733071 قضبانية 	18538 Betulaceae 	155326 Σημυδοειδή 	124115 Betulaceae 	34246 Betulaceae 
705494 Alcoholic_beverages 	51293 Bebidas_alcohólicas 	240090 Alkoholhaltiges_Getränk 	95614 Boisson_alcoolisée 	18917 Begudes_alcohòliques 	83194 مشروبات_كحولية 	14434 Alkoholdun_edariak 	8444 Αλκοολούχα_ποτά 	12191 Băuturi_alcoolice 	41276 Bevenda_alcolizada 
698261 Libraries 	77599 Bibliotecas 	259642 Bibliothek 	624975 Bibliothèque 	44953 Biblioteques 	131911 مكتبات 	67469 Liburutegiak 	9228 Βιβλιοθήκες 	392251 Biblioteci 	50922 Bibliotèca 
712969 Belarus 	67736 Bielorrusia 	281667 Weißrussland 	84094 Biélorussie 	30535 Bielorússia 	291192 بيلاروسيا 	8457 Bielorrusia 	8024 Λευκορωσία 	16119 Belarus 	5505 Bielorussia 
11662086 Biomolecules 	51802 Biomoléculas 	286899 Biomolekül 	516351 Biomolécule 	284236 Biomolècules 	197618 جزيئات_حيوية 	65046 Biomolekulak 	144688 Βιομόρια 	865883 Biomolecule 	11611 Biomolecula 
695996 Biochemistry 	51270 Bioquímica 	281260 Biochemie 	93886 Biochimie 	12711 Bioquímica 	17835 كيمياء_حيوية 	9744 Biokimika 	17081 Βιοχημεία 	27840 Biochimie 	4868 Bioquimia 
972536 Biochemists 	86388 Bioquímicos 	244185 Biochemiker 	147682 Biochimiste 	14442 Bioquímics 	2356336 كيميحيويون 	248187 Biokimikariak 	144128 Βιοχημικοί 	748854 Biochimiști 	39056 Bioquimista 
888826 Biotechnology 	217303 Biotecnología 	478210 Biotechnologie 	599480 Biotechnologie 	13994 Biotecnologia 	22881 تقانة_حيوية 	41937 Bioteknologia 	17082 Βιοτεχνολογία 	211816 Biotehnologie 	33406 Biotecnologia 
718701 Burma 	1202826 Birmania 	2945572 Myanmar 	4283726 Birmanie 	198878 Myanmar 	120079 ميانمار 	46319 Myanmar 	84950 Μιανμάρ 	18172 Myanmar 	19257 Birmania 
715712 Blues 	104583 Blues 	362848 Blues 	119568 Blues 	992646 Blues 	143293 بلوز 	53397 Blues_musika 	38032 Μπλουζ 	376588 Muzică_blues 	10332 Blues 
693801 Buddhism 	60029 Budismo 	244727 Buddhismus 	85051 Bouddhisme 	19616 Budisme 	10917 بوذية 	21684 Budismoa 	10102 Βουδισμός 	39801 Budism 	19994 Bodisme 
692998 Bolivia 	51659 Bolivia 	242221 Bolivien 	124020 Bolivie 	18949 Bolívia 	15717 بوليفيا 	9130 Bolivia 	38124 Βολιβία 	37291 Bolivia 	26065 Bolívia 
